question,answer,context_id
It is inferred that more tests need to be done because   _  .,every scientific conclusion needs the support from many tests,10979
What can we learn from the passage?,The writer got along very well with the old lady.,24862
The passage is mainly about  _  .,greener choices for holiday.,13005
What city may be soon be living ?,Boston,2041
How did the narrator feel immediately after taking the protential lethal dose of anti-depressants,not enough information,31556
What may be a plausible fact about me ?,I am a criminal person .,43078
Which of the following is the best title of the passage?,Nobody Is a Nobody.,54489
Why was Jerry shot?,Because he didn't open the safe in time.,18423
"According to Hocking , the global economic crisis might make the youngsters  _  .",wiser in money management,4389
What must have happened between she and I ?,None of the above choices .,58130
Why was the mom stressed?,She was always juggling bills,26435
Why is the narrator feeling far more relaxed and loose ?,The narrator got a rubdown .,44098
Why did they think the house was awesome ?,None of the above choices .,47760
What may be the reason for their thoughts ?,They are feeling down about their future .,18944
Why does the narrator seem to be unhindered ?,They have plenty of space to move around .,18065
What does the author tend to do when following instructions?,Do one step at a time.,53419
Why did they drive back ?,Because they thought they may find a story about Roger.,23830
It is   _   if you know the language and some of the customs of the country.,very helpful,28601
what happened after they lost ?,they continued to work to get better,5242
We know from the passage that elephants may be frightened of  _  .,angry bees,13634
The man was sad because   _  .,he was poor and had no other axes,4698
Why is the narrator 's friend always picking up the phone ?,The narrator 's friend is considerate of others .,58224
Which of the following is true about Xie Qiming?,He was waiting for surgery when the report was writing.,49618
What would be the best title of the passage? [ ],"Old buildings, to preserve or not",8323
Where might I have been when I flipped on my computer ?,I was in bed trying to stay warm because the air was cold that morning .,28224
Who is Ms D,not enough information,53481
"According to the U.S. Department of Homeland Security, the emergency radio should  _  .",be a household necessity,34147
What do I intend by saying I intend to get as lubricated as I can ?,I am going to get drunk .,37053
What is probably true about the Senate position in Alabama?,It has a history of Republican candidates filling that position.,58208
what might be the outcome of this ?,The person may have a hangover,52228
What may happen after we leave the church ?,We will go to the reception,55733
How many vehicles were produced in China in 2004?,5 million.,50351
Why did federal officials make Alcatraz the most famous prison in America?,Because no prisoner successfully escaped from the prison.,50813
For how long have the applicants of PEES probably played computer games?,Years,3479
What may happen on the fishing trip ?,None of the above choices .,44431
"According to the passage, if a sportsman only thinks about winning, he will  _  .     .",lose enjoyment,13074
what is the reason letting a Hershey 's Kiss melt in your mouth makes it yummy ?,None of the above choices .,37009
what is the reason that Icy Hot will assail my nostrils .,None of the above choices .,42708
Why would some people with sensitive diets skip this meal ?,There are many carbs .,187
What would be the best title for the passage?  _,The burden of being gifted,58859
"Bowman's experiment reveals that when it comes to politics,attractiveness  _  .",is more of an obstacle than a benefit to women,6041
"When recommending your book with a pen name hard to pronounce, your readers may feel   _  .",embarrassed,39926
